a_word,b_alphabet,c_meaning
Ed,/ed/,abbr. Edmund，Edward，Edwin等的昵称
CP,/ˏsiː ˈpiː/,abbr. 卡值（Calorific Power）；化学纯（Chemically pure）；内容提供商（Content Provider）
meek,英:/miːk/ 美:/mik/,adj. 温顺的；谦恭的；驯服的
coo,英:/kuː/ 美:/ku/,"1. n. 咕咕声；鸽子的叫声
2. vt. 咕咕地叫；轻轻地说"
en famille,/ˏɔn fæˈmiː/,在家中；非正式地
con,英:/kɒn/ 美:/kɑn/,"1. n. 反对票；反对论
2. vt. 精读；默记"
CSM,/ˏsiː es ˈem/,abbr. 基督教科学箴言报（Christian Science Monitor）；复合信号多频拨号（Composite Signal Multi-frequency Dialing）；稳定燃烧监控器（Combustion Stabilization Monitor）
dhow,英:/daʊ/ 美:/daʊ/,n. 单桅三角帆船；独桅帆船的一种
DT,/ˏdiː ˈtiː/,abbr. 暗行扫描（Dark Trace）；研制试验（Development Testing）；震颤性精神错乱（Delirium Tremens）
full,英:/fʊl/ 美:/fʊl/,"1. adj. 完全的，完整的；满的，充满的；丰满的；丰富的；详尽的；完美的
2. adv. 完全地；十分，非常；整整"
glare,英:/gleə/ 美:/ɡlɛr/,"1. n. 刺眼；耀眼的光；受公众注目
2. vi. 瞪眼表示"
dlitt,/ˏdiː ˈlɪt/,doctor of literature/letters文学博士
CO,/ˈmeərɪ ən kəu/,abbr. 一氧化碳（carbon monoxide）；现付票（Cash Order）；货源证书（Certificate of Origin）；哥伦比亚（Colombia）
each,英:/iːtʃ/ 美:/itʃ/,"1. adj. 每；各自的
2. adv. 每个；各自"
by,英:/baɪ/ 美:/baɪ/,"1. prep. 被；经由；在……之前；在附近；依据；通过
2. adv. 经过；通过；附近；[域]白俄罗斯"
DHSS,/ˏdiː eɪtʃ es ˈes/,abbr. Department of Health and Social Services〈英〉卫...
bs,/bi:z/,abbr. 英国标准（British Standard）；理学士（Bachelor of Science）
drab,英:/dræb/ 美:/dræb/,"1. adj. 单调的；土褐色的
2. n. 浅褐色；无生气；邋遢；小额"
bp,/ˏbiː ˈpiː/,abbr. BP机，传呼机（俗称BB机）；英国石油公司（British Petroleum）；巴格达条约（Baghdad Pact）；监狱管理局（Bureau of Prisons）
frail,英:/freɪl/ 美:/frel/,"1. adj. 虚弱的；脆弱的
2. n. 灯心草篓；少妇；少女"
cook,英:/kʊk/ 美:/kʊk/,"1. vt. 烹调，煮
2. vi. 烹调，做菜"
en passant,英:/ˏɔn ˈpæsɔn/ 美:/ˌɑŋ pɑˈsɑŋ/,在进行中；顺道
clack,英:/klæk/ 美:/klæk/,"1. vi. 噼啪响；唠唠叨叨讲
2. n. 噼啪响；哔剥声"
geld,英:/geld/ 美:/ɡɛld/,"1. vt. 阉割；剥夺；去势
2. n. 税；贡赋；支付款"
drably,/dræbli/,adv. 单调乏味地；无生气地
clad,英:/klæd/ 美:/klæd/,"1. adj. 穿衣的；覆盖的
2. vt. 在金属外覆以另一种金属"
broad,英:/brɔːd/ 美:/brɔd/,"1. adj. 宽的，辽阔的；显著的；大概的
2. n. 宽阔部分"
ere,英:/eə/ 美:/ɛr/,"1. prep. 在…以前；毋宁
2. conj. 在…以前；毋宁"
cps,/ˏsiː piː ˈes/,abbr. 周/秒，每秒周数（cycles per second ）；中央处理系统（central processing system）；控制电源（Control Power Supply）
BPC,/ˏbiː piː ˈsiː/,abbr. 英国药物处方书（British Pharmaceutical Codex）；基本个人计算机（basic private computer）
frame,英:/freɪm/ 美:/frem/,"1. n. 框架；结构；画面
2. vt. 设计；陷害；建造；使…适合"
glass,英:/glɑːs/ 美:/ɡlæs/,"1. n. 玻璃；镜子；玻璃制品
2. vt. 反映；给某物加玻璃"
DM,/di: em/,abbr. 设计手册（Design Manual）；音乐博士（Doctor of Music）；资料管理（Data Management）
meet,英:/miːt/ 美:/mit/,"1. vt. 遇见；满足；对付
2. vi. 相遇；接触"
BBFC,/ˏbiː biː ef ˈsiː/,abbr. British Board of Film Censors 英国电影审查局
en route,英:/ˏɔn ˈruːt/ 美:/ɑn ˈrut/,在途中
Eden,英:/ˈi:dn/ 美:/ˈidn/,n. 伊甸园（《圣经》中亚当和夏娃最初居住的地方）
blab,英:/blæb/ 美:/blæb/,"1. vt. 泄漏
2. vi. 胡扯"
gain,英:/geɪn/ 美:/ɡen/,"1. n. 收获；增加；利润
2. vt. 获得；增加；赚到"
BSI,/ˏbiː es ˈaɪ/,abbr. 英国标准学会（British Standards Institution）
EC,/ek/,abbr. 欧共体（European Community）；接地电流（Earth Current）；电子计算机（Electronic Computer）；弹性系数（Elasticity Coefficient）
edge,英:/edʒ/ 美:/ɛdʒ/,"1. n. 边缘；刀刃；优势；锋利
2. vt. 使锐利；将…开刃；给…加上边"
chafe,英:/tʃeɪf/ 美:/tʃef/,"1. vt. 擦破；擦热；擦痛；激怒
2. vi. 擦伤；磨擦；激怒"
crab,英:/kræb/ 美:/kræb/,"1. n. 螃蟹；蟹肉；脾气乖戾的人；起重机
2. vt. 抱怨；破坏；使偏航"
BR,/ˏbiː ˈɑː(r)/,abbr. 英国铁路公司（British Rail）
claim,英:/kleɪm/ 美:/klem/,"1. vi. 提出要求
2. vt. 要求；声称；认领；需要"
gem,英:/dʒem/ 美:/dʒɛm/,"1. n. 宝石；精华；宝物；珍品；美玉
2. vt. 点缀；用宝石镶嵌；饰以宝石"
cub,英:/kʌb/ 美:/kʌb/,"1. n. 幼兽；不懂规矩的年轻人
2. vi. 生育幼兽"
boar,英:/bɔː/ 美:/bɔr/,n. 野猪；（未阉的）公猪
chaff,英:/tʃɑːf/ 美:/tʃæf/,"1. n. 谷壳；糠；无价值的东西
2. vi. 开玩笑；打趣"
be,英:/biː/ 美:/bi/,prep. 在，存在；是
board,英:/bɔːd/ 美:/bɔrd/,"1. n. 木板；甲板；膳食；董事会
2. vt. 用板盖上；上（飞机、车、船等）；给提供膳宿"
bra,英:/brɑː/ 美:/brɑ/,n. 胸罩
bye,英:/baɪ/ 美:/baɪ/,"1. int. 再见
2. n. 轮空；次要的东西"
black,英:/blæk/ 美:/blæk/,黑色
play,英:/pleɪ/ 美:/ple/,"etc that presents the unpleasant or tragic realities of life in a comic way 黑色喜剧（以喜剧形式表现不愉快的或悲剧的人生现实的戏剧等）.<br /><br />1. vt. 演奏；播放；游戏；扮演；同…比赛
2. vi. 演奏；玩耍；上演；参加比赛..."
gait,英:/geɪt/ 美:/ɡet/,"1. n. 步法，步态
2. vt. 训练步法"
dub,英:/dʌb/ 美:/dʌb/,"1. vt. [电影]配音；授予称号；轻点；打击
2. n. 笨蛋；鼓声"
erg,英:/ɜːg/ 美:/ɝɡ/,n. 尔格（功和能的单位）
draft,英:/drɑːft/ 美:/dræft/,"1. n. 草稿；汇票；草图；[篮球]选秀
2. vt. 起草，设计；为...打样"
franc,英:/fræŋk/ 美:/fræŋk/,n. 法郎
do,英:/duː/ 美:/du/,"1. n. 要求；规定；C大调音阶中的第一音
2. vt. 做；完成；进行；解答"
beach,英:/biːtʃ/ 美:/bitʃ/,"1. n. 海滩；湖滨
2. vt. 将…拖上岸"
clam,英:/klæm/ 美:/klæm/,"1. vi. 捞蛤
2. n. 蛤；沉默寡言的人；钳子"
gen,英:/dʒen/ 美:/dʒɛn/,n. 〈英俚〉情报 GENabbr. GLOBAL EUROPEAN ATM NETWORK 泛欧ATM网
BTA,/ˏbiː tiː ˈeɪ/,abbr. British Tourist Authority 英国旅游管理局
brace,英:/breɪs/ 美:/bres/,"1. n. 支柱；大括号；曲柄
2. vt. 支撑；激励；振作起来；撑牢"
lingua franca,/ˏlɪŋgwə ˈfræŋkə/,通用语；共通语；混合语
cube,英:/kjuːb/ 美:/kjʊb/,"1. n. 立方体；立方；骰子
2. vt. 使成立方形；使自乘二次；量…的体积"
gal,英:/gæl/ 美:/ɡæl/,n. 加仑（重力加速度单位）；[口]姑娘
cool,英:/kuːl/ 美:/kʊl/,"1. adj. 冷静的；凉爽的；[口]出色的
2. vt. 使…冷却；使…平静下来"
graft,英:/grɑːft/ 美:/ɡræft/,"1. vi. 嫁接；移植；贪污
2. vt. 嫁接；移植；贪污"
AL,/ɑ:l/,abbr. 美国联盟（American League）；美国军团（American Legion）；阿尔巴尼亚（Albania，欧洲一国家名）；美国亚拉巴马州（Alabama）
chain,英:/tʃein/ 美:/tʃen/,"1. n. 链；束缚；枷锁
2. vt. 束缚；囚禁；用铁练锁住"
crack,英:/kræk/ 美:/kræk/,"1. vt. 使破裂；打开；变声
2. vi. 爆裂；破裂"
da,英:/ˌdi:ˈei/ 美:/ˈdiˈe/,地方检察官
grail,英:/greɪl/ 美:/ɡrel/,n. 杯；大盘；圣杯（传说中耶稣最后晚餐所用之杯）；长期以来梦寐以求的东西
grain,英:/greɪn/ 美:/ɡren/,"1. n. 粮食；颗粒；谷物；纹理
2. vi. 成谷粒"
ear,英:/ɪə/ 美:/ɪr/,"1. n. 耳朵；听觉；倾听；穗
2. vi. （美俚）听见；抽穗"
cracked,英:/krækt/ 美:/krækt/,"1. adj. 破裂的；声音嘶哑的；[口]精神失常的
2. v. 破裂；发沙哑声；失败；崩溃（crack的过去分词）"
dab,英:/dæb/ 美:/dæb/,"1. n. 轻拍；少量；熟手；比目鱼
2. v. 涂；轻拍；轻擦；轻敷（过去式dabbed，过去分词dabbed，现在分词dabbing，第三人称单数dabs）"
grained,英:/ɡreɪnd/ 美:/ɡrend/,adj. 有木纹的；除去毛的；漆成木纹的
eared,英:/iəd/ 美:/ɪrd/,"1. adj. 有穗的；有耳的；有把的
2. v. [美俚]听；抽穗（ear的过去分词）"
gene,英:/dʒiːn/ 美:/dʒin/,n. 基因，遗传因子
frank,/fræŋk/,"1. adj. 坦白的，直率的；老实的
2. n. 免费邮寄特权"
et al,/ˏet ˈæl/,"以及其他人, 等人"
agate,英:/ˈeiɡət/ 美:/ˈæɡɪt/,n. 玛瑙；玛瑙制工具
ad infinitum,英:/ˏædˏɪnfɪˈnaɪtəm/ 美:/æd ˌɪnfəˈnaɪtəm/,无限地；永久地；无止境地
gale,英:/geɪl/ 美:/ɡel/,n. 大风，狂风；（突发的）一阵
age,英:/eɪdʒ/ 美:/edʒ/,"1. n. 年龄；时代；阶段；寿命，使用年限
2. vi. 变老；成熟"
echo,英:/ˈekəu/ 美:/ˈɛko/,"1. vt. 重复；反射
2. vi. 随声附和；发出回声"
byte,英:/baɪt/ 美:/baɪt/,n. [计]字节；8位元组
ape,英:/eɪp/ 美:/ep/,"1. n. 猿；傻瓜；模仿者
2. vt. 模仿；抢台词"
bract,英:/brækt/ 美:/brækt/,n. 苞片；苞
boast,英:/bəʊst/ 美:/bost/,"1. vt. 以有…而自豪；夸口说，自吹自擂说
2. n. 自夸；值得夸耀的事物，引以为荣的事物"
baa,英:/bɑː/ 美:/bɑ/,"1. vi. （羊）咩咩叫
2. n. 咩（羊叫声）"
gall,英:/gɔːl/ 美:/ɡɔl/,"1. n. 胆汁；怨恨；苦味；五倍子
2. vt. 烦恼；屈辱；磨伤"
drag,英:/dræg/ 美:/dræɡ/,"1. vt. 拖拉；拖累；缓慢而吃力地行进
2. vi. 拖曳；缓慢而吃力地行进"
brad,英:/bræd/ 美:/bræd/,"1. n. 曲头钉；角钉
2. vt. 用无头钉固定"
gram,/ɡræm/,n. 克；[植]鹰嘴豆（用作饲料）
ad nauseam,英:/ˏæd ˈnɔːzɪm/ 美:/æd ˈnɔziəm/,adv. 令人作呕地
bubonic plague,/bjuːˏbɔnɪk ˈpleɪg/,n. [医]黑死病
coach,英:/kəʊtʃ/ 美:/kotʃ/,"1. n. 教练；旅客车厢；长途公车；四轮大马车
2. vt. 训练；指导"
dace,英:/deɪs/ 美:/des/,n. 鲦鱼
beadle,英:/ˈbi:dl/ 美:/ˈbidl/,n. 游行领队；教区执事；小吏
reductio ad absurdum,英:/rɪˏdʌktɪəu d əbˈsɜːdəm/ 美:/rɪˈdʌktio æd əbˈsɚdəm/,[拉]归谬法（等于reduction to absurdity）
duck,英:/dʌk/ 美:/dʌk/,"1. n. 鸭子；鸭肉；（英）宝贝儿；[版]零分
2. vi. 闪避；没入水中"
glaze,英:/gleɪz/ 美:/ɡlez/,"1. vt. 装以玻璃；上釉于
2. vi. 变呆滞；变得光滑"
chow mein,英:/ˏtʃau ˈmeɪn/ 美:/ˈtʃaʊ ˈmen/,n. （中国的）炒面
brae,英:/breɪ/ 美:/bre/,n. 斜坡；山坡
glazed,/glezd/,"1. adj. 像玻璃的；光滑的；上过釉的；呆滞无神的
2. v. 装以玻璃；上釉（glaze的过去分词）"
clamp,英:/klæmp/ 美:/klæmp/,"1. vt. 夹紧，固定住
2. n. 夹钳，螺丝钳"
buck,英:/bʌk/ 美:/bʌk/,n. 雄鹿；纨绔子弟；年轻的印第安人或黑人；（美）钱，元
a la carte,/ˏɑː lɑː ˈkɑːt/,"1. adv. （法）按菜单点菜
2. adj. 按菜单点菜的"
babe,英:/beɪb/ 美:/beb/,n. 婴儿，小孩；天真幼稚的人；女孩
brag,英:/bræg/ 美:/bræɡ/,"1. n. 吹牛，自夸
2. vi. 吹牛，自夸"
GLC,/ˏdʒiː el ˈsiː/,abbr. （英国）大伦敦市议会（Greater London Council）；（美国）大湖委员会（Great Lakes Commission）
coon,英:/kuːn/ 美:/kun/,n. 浣熊；[蔑]黑人
a la mode,/ˏɑː lɑː ˈməud/,流行的；加冰淇淋的；以酒熬煮成浓汁的
boat,英:/bəʊt/ 美:/bot/,"1. n. 小船；轮船
2. vi. 划船"
Babel,英:/ˈbeibəl/ 美:/ˈbebəl/,n. 巴比伦式的城市；巴别塔
ducks and drakes,英:/dʌks/ 美:/dʌks/,打水漂游戏
DOC,英:/dɔk/ 美:/dɑk/,abbr. [加]通信部（Department of Communications）；[美]商务部（Department of Commerce）
coop,英:/kuːp/ 美:/kʊp/,"1. vt. 把…关进笼子里；限制；拘禁
2. vi. [美俚]值勤警察在警车里打瞌睡"
clan,英:/klæn/ 美:/klæn/,n. 宗族；部落；集团
gleam,英:/gliːm/ 美:/ɡlim/,"1. n. 微光；闪光；瞬息的一现
2. vi. 闪烁；隐约地闪现"
beak,英:/biːk/ 美:/bik/,n. 鸟嘴；鹰钩鼻子；地方执法官；男教师
bucked,/bʌkt/,"1. adj. 高兴的，快乐的；疲倦的，累的
2. v. （马、骡等）突然弓背跃起把（人或物）摔下；强行通过（buck的过去式）"
beaked,/bi:kt/,adj. 有喙的；鸟嘴状的
a posteriori,英:/ˏeɪ ˏpɔsterɪˈɔːraɪ/ 美:/ˌɑ pɑˌstɪriˈɔri/,[拉]归纳的；凭经验的
cud,英:/kʌd/ 美:/kʌd/,n. 反刍的食物
err,英:/ɜː/ 美:/ɛr/,vi. 犯错；做错；犯罪；[废]走上歧途
cooper,英:/ˈku:pə/ 美:/ˈkupɚ/,"1. vi. 箍桶；修桶
2. n. 制桶工人；修桶匠"
gramme,英:/ɡræm/ 美:/ɡræm/,n. 克
bath chair,英:/ˏbɑːθ ˈtʃeə(r)/ 美:/bæθ/,有篷盖的轮椅
fume,英:/fjuːm/ 美:/fjum/,"1. vi. 冒烟；发怒
2. vt. 冒烟；熏；愤怒地说"
braid,英:/breɪd/ 美:/bred/,"1. vt. 编织
2. n. 辫子；穗带；发辫"
coal,英:/kəʊl/ 美:/kol/,"1. vi. 加煤；上煤
2. vt. 给…加煤；把…烧成炭"
dad,英:/dæd/ 美:/dæd/,n. 爸爸；爹爹
glean,英:/gliːn/ 美:/ɡlin/,"1. vt. 收集（资料）；拾（落穗）
2. vi. 拾落穗；收集"
adamantly,英:/ˈædəməntli:/ 美:/ˈædəməntli/,坚决
duct,英:/dʌkt/ 美:/dʌkt/,"1. n. 输送管，导管
2. vt. 用导管输送；以导管封住"
age,英:/eɪdʒ/ 美:/edʒ/,"1. n. 年龄；时代；阶段；寿命，使用年限
2. vi. 变老；成熟"
Braille,英:/breil/ 美:/brel/,"1. vt. 用盲字印
2. n. 布莱叶（法国盲人教育家）；盲人用点字法"
EDP,/ˏiː diː ˈpiː/,abbr. 电子数据处理（Electronic Data Processing）；放电电修处理（Electric Diffusing Process）
ductless gland,英:/ˈdʌktlɪs/ 美:/ˈdʌktlɪs/,无管腺
chair,英:/tʃeə/ 美:/tʃɛr/,"1. n. 椅子；（会议的）主席位；大学教授的职位；讲座
2. vt. 使…入座；使就任要职；担任（会议的）主席"
brain,英:/breɪn/ 美:/bren/,"1. n. 脑袋；头脑，智力
2. vt. 猛击…的头部"
beam,英:/biːm/ 美:/bim/,"1. n. 横梁；船宽；电波；光线；秤杆
2. vt. 以梁支撑；用…照射；流露；发送"
heal,英:/hiːl/ 美:/hil/,"1. vt. 治愈，痊愈；和解
2. vi. 痊愈"
dock,英:/dɒk/ 美:/dɑk/,"1. n. 船坞；码头；被告席；尾巴的骨肉部分
2. vt. 剪短；使靠码头"
clang,英:/klæŋ/ 美:/klæŋ/,"1. n. 叮当声；铿锵声
2. vi. 发铿锵声"
EDT,/ˏiː diː ˈtiː/,abbr. 电子数据传输（Electronic Data Transmission）；工程说明磁带（Engineering Description Tape）；同类干燥时间（Equivalent Drying Time）；酒石酸乙二胺（Ethylenediamine Tartrate）；东部夏季时间（Eastern Daylight Time）...
buckle,英:/ˈbʌkl/ 美:/ˈbʌkəl/,"1. vi. 扣住；变弯曲
2. vt. 扣住；使弯曲"
fun,英:/fʌn/ 美:/fʌn/,"1. n. 乐趣；玩笑；有趣的人或事
2. adj. 供娱乐用的"
earl,英:/ɜːl/ 美:/ə..l/,n. （英）伯爵
cue,英:/kjuː/ 美:/kju/,"1. n. 提示，暗示；线索
2. vt. 给…暗示"
goad,英:/gəʊd/ 美:/ɡod/,"1. n. （赶牲口用的）刺棒；刺激；激励
2. vt. 刺激；激励；用刺棒驱赶；煽动"
glee,英:/gliː/ 美:/ɡli/,n. 快乐；欢欣；重唱歌曲
bean,英:/biːn/ 美:/bin/,"1. n. 豆；[动]嘴峰；[美口]毫无价值的东西
2. vt. [美口]击…的头部"
GRAN,英:/græn/ 美:/ɡræn/,abbr. 全球救援警报网（Global Rescue Alarm Network）
cuff,英:/kʌf/ 美:/kʌf/,"1. n. 手铐；一巴掌；袖口，裤子翻边
2. vt. 给…上袖口；用巴掌打；给…带上手铐"
goal,英:/gəʊl/ 美:/ɡol/,"1. n. 目标；终点；球门，得分数
2. vi. 攻门，射门得分"
dud,英:/dʌd/ 美:/dʌd/,"1. n. 衣服；哑弹；无用物
2. adj. 无用的"
health,英:/helθ/ 美:/hɛlθ/,n. 健康；兴旺；卫生；保健
EPNS,/ˏiː piː en ˈes/,abbr. 电镀镍银合金（Electronplated Nickel-Silver）
mellifluence,"/mə,lɪflʊəns/","n. 甘美,流畅"
chaise longue,英:/ˏʃeɪz ˈlɔŋ/ 美:/ʃez ˈlɔŋ/,n. 躺椅
craft,英:/krɑːft/ 美:/kræft/,"1. n. 手艺；工艺；太空船
2. vt. 精巧地制作"
daemon,英:/ˈdi:mən/ 美:/ˈdimən/,n. 守护进程；后台程序
fraud,英:/frɔːd/ 美:/frɔd/,n. 欺骗；骗子；诡计
dude,英:/d(j)uːd/ 美:/dud/,花花公子，纨绔子弟
craft,英:/krɑːft/ 美:/kræft/,"1. n. 手艺；工艺；太空船
2. vt. 精巧地制作"
drain,英:/dreɪn/ 美:/dren/,"1. vi. 排水；流干
2. vt. 喝光，耗尽；使流出；排掉水"
grand,英:/grænd/ 美:/ɡrænd/,"1. adj. 宏伟的；豪华的；极重要的
2. n. 大钢琴；一千美元"
early,英:/ˈə:li/ 美:/ˈɚli/,"1. adj. 早期的；早熟的
2. adv. 提早；在初期"
clank,英:/klæŋk/ 美:/klæŋk/,"1. vi. 发叮当声；发铿锵声
2. vt. 使铿然作响"
fence,英:/fens/ 美:/fɛns/,"rail, etc to restrain crowds, divide vehicles travelling in opposite directions on a motorway, etc （限制人群通行的）隔离栅; （高速公路等的双程行车道之间的）防撞护栏. =>illus at App 1 见附录1之插图, page xiii.<br /><br />1. n. 栅栏；围墙；剑术
2. vt. 防护；用篱笆围住；练习剑术..."
daft,英:/dɑːft/ 美:/dæft/,adj. 癫狂的；愚笨的；狂闹的
glen,英:/glen/ 美:/ɡlɛn/,n. 幽谷；峡谷
clap,英:/klæp/ 美:/klæp/,"1. vi. 鼓掌，拍手；啪地关上
2. vt. 拍手，鼓掌；轻轻拍打某人"
gallicism,英:/ˈɡælisiz(ə)m/ 美:/ˈɡælɪˌsɪzəm/,"n. 法语特有的语法,另一种语言中的法语成语或字句"
duds,英:/dʌdz/ 美:/dʌdz/,n. 衣服；行李；旧衣
agent provocateur,英:/ˏæʒɔn prəˏvɔkəˈtɜː(r)/ 美:/æˌʒɑŋ prɔˌvɔkɑˈtɚr/,n. 密探；内奸
Epsom salts,/ˏepsəm ˈsɔːlts/,泻盐（指硫酸镁）
glib,英:/glɪb/ 美:/ɡlɪb/,adj. 口齿伶俐的，油嘴滑舌的
coot,英:/kuːt/ 美:/kut/,n. 傻瓜；笨蛋；黑鸭
soya bean,/ˈsɔɪə biːn/,大豆
aa,英:/ɔ:/ 美:/ˈɑɑ/,嗜酒者互诫协会
bob,英:/bɒb/ 美:/bɑb/,"1. n. 短发；浮子；摆动；轻敲；悬挂的饰品
2. vt. 剪短；敲击；使上下快速摆动"
haute cuisine,英:/ˏəut kwɪˈziːn/ 美:/ot/,n. 高级烹饪术
add,英:/æd/ 美:/æd/,"1. vi. 加；增加；加起来；做加法
2. vt. 增加，添加；补充说；计算…总和"
chalk,英:/tʃɔːk/ 美:/tʃɔk/,"1. vt. 用粉笔写；用白垩粉擦；记录；规划
2. n. 粉笔；白垩；用粉笔划的记号"
cop,英:/kɒp/ 美:/kɑp/,"1. vt. 抓住
2. n. 巡警，警官"
ethyl alcohol,/ˏeθɪl ˈælkəhɔl/,乙醇；酒精；威士忌
due,英:/djuː/ 美:/du/,"1. adj. 到期的；应得的；应付的；预期的
2. n. 应付款；应得之物"
glibness,/glibnis/,n. 花言巧语；口若悬河
glide,英:/glaɪd/ 美:/ɡlaɪd/,"1. n. 滑翔；滑行；滑移；滑音
2. vt. 滑翔；滑行；悄悄地走；消逝"
bear,英:/beə/ 美:/bɛr/,"1. vi. 结果实；承受
2. vt. 忍受；具有；支撑"
earn,英:/ɜːn/ 美:/ɝn/,vt. 获得，挣得；赚，赚得；博得；使得到
fraught,英:/frɔːt/ 美:/frɔt/,adj. [口]担心的，忧虑的；充满…的
AB,英:/æb/ 美:/ˈeˌbi/,abbr. 空运（airborne）
alder,英:/ˈɔ:ldə/ 美:/ˈɑldɚ/,n. [植]桤木
drake,英:/dreik/ 美:/drek/,n. 公鸭；蜉蝣类（等于drake fly）
fray,英:/freɪ/ 美:/fre/,"1. n. 争论；打架；磨损处
2. vt. 使磨损；变得令人紧张、急躁"
cull,英:/kʌl/ 美:/kʌl/,"1. vt. 精选；采集（鲜花等）；剔除
2. n. 剔出来杀掉的动物；拣出的等外品"
EE,/i:/,abbr. 早期英语（Early English）；电子工程师（Electronic Engineers）；东欧（East Europe）；职业介绍所（Employment Exchange）
EEC,/ˏiː iː ˈsiː/,abbr. 汽车废气排放系统（Exhaust Emission Control）；欧洲经济共同体（European Economic Community）
par excellence,英:/ˏpɑːr ˈeksəlɑːns/ 美:/pɑr ɛksəˈlɑŋs/,出类拔萃的；最卓越的
bud,英:/bʌd/ 美:/bʌd/,"1. n. 芽，萌芽；蓓蕾
2. vi. 发芽，萌芽"
crag,英:/kræg/ 美:/kræg/,n. 峭壁；岩石碎块；颈；嗉囊
dram,英:/dræm/ 美:/dræm/,n. 打兰（重量名）；微量
fund,英:/fʌnd/ 美:/fʌnd/,"1. n. 资金；基金；存款
2. vt. 投资；资助"
